id,category,turn_1_score,turn_2_score,turn_3_score,turn_4_score
0,1,1,3,5,5
1,1,1,1,5,3
2,1,1,3,5,3
3,1,1,3,3,3
4,1,1,3,3,1
5,1,1,4,5,5
6,1,1,3,3,4
7,1,4,2,3,3
8,1,1,3,3,1
9,1,1,4,5,5
10,1,1,1,1,1
11,1,1,3,3,4
12,1,1,1,2,3
13,1,1,2,1,2
14,1,1,5,5,4
15,1,1,3,3,4
16,1,1,1,1,1
17,1,1,1,3,4
18,1,2,3,4,4
19,1,1,3,4,4
20,1,1,3,2,1
21,1,3,5,5,5
22,1,1,1,3,1
23,1,1,4,3,4
24,1,1,3,2,4
25,1,2,3,4,5
26,1,1,1,1,1
27,1,1,1,1,1
28,1,1,3,1,4
29,1,1,3,4,5
30,1,4,5,5,5
31,1,1,3,4,5
32,1,1,1,1,1
33,1,1,1,1,1
34,1,1,1,1,1
35,1,1,1,1,3
36,1,1,2,3,3
37,1,1,1,2,3
38,1,1,3,3,3
39,1,1,1,1,1
40,1,1,2,2,5
41,1,1,3,5,3
42,1,1,3,3,3
43,1,1,3,1,1
44,1,1,4,3,5
45,1,1,2,3,2
46,1,1,3,3,4
47,1,1,3,3,3
48,1,2,5,5,3
49,1,1,1,3,3
50,1,1,1,1,1
51,1,1,1,3,3
52,1,1,3,4,1
53,1,1,5,2,1
54,1,1,3,3,3
55,1,3,4,3,3
56,1,1,3,3,1
57,1,1,1,1,1
58,1,1,1,1,2
59,1,1,4,5,5
60,1,1,1,3,3
61,1,1,3,4,3
62,1,2,2,3,3
63,1,1,1,1,1
64,1,1,1,3,3
65,1,1,3,2,5
66,1,2,5,5,5
67,1,2,3,4,4
68,1,1,1,1,2
69,1,4,4,5,5
70,1,1,3,3,5
71,1,1,1,1,1
72,1,1,1,3,4
73,1,1,2,2,1
74,1,1,1,3,3
75,1,1,1,3,4
76,1,1,1,1,1
77,1,1,1,1,1
78,1,1,1,2,2
79,1,1,3,4,3
80,1,1,3,3,1
81,1,1,1,1,3
82,1,1,3,5,4
83,1,1,1,1,2
