id,category,turn_1_score,turn_2_score,turn_3_score,turn_4_score
0,1,1,1,1,3
1,1,1,1,1,1
2,1,1,1,2,1
3,1,1,3,1,2
4,1,1,1,1,3
5,1,1,3,4,4
6,1,1,1,1,1
7,1,3,4,4,4
8,1,1,1,1,1
9,1,1,4,4,4
10,1,1,1,1,1
11,1,1,3,2,3
12,1,2,1,1,3
13,1,1,1,1,1
14,1,1,1,3,4
15,1,1,1,2,3
16,1,1,1,2,1
17,1,1,1,1,1
18,1,1,1,2,3
19,1,1,1,2,3
20,1,1,2,1,4
21,1,3,4,3,4
22,1,1,1,1,3
23,1,1,1,2,2
24,1,1,1,1,2
25,1,3,1,3,1
26,1,1,1,1,3
27,1,1,1,1,1
28,1,1,1,1,3
29,1,1,3,3,4
30,1,5,3,4,4
31,1,1,1,2,3
32,1,1,1,1,1
33,1,1,1,1,1
34,1,1,1,1,2
35,1,1,1,1,2
36,1,1,1,1,2
37,1,1,2,1,1
38,1,1,1,3,1
40,1,1,1,1,1
41,1,1,1,3,3
42,1,1,1,2,1
43,1,1,1,1,1
44,1,1,1,1,3
45,1,1,2,2,1
46,1,1,1,1,3
47,1,1,1,1,1
48,1,1,5,5,5
49,1,1,1,1,1
50,1,1,1,1,3
51,1,1,3,1,4
52,1,1,3,2,1
53,1,1,1,3,3
54,1,1,1,2,3
55,1,3,4,4,4
56,1,1,1,1,1
57,1,1,2,2,3
58,1,1,1,1,2
59,1,1,5,5,5
60,1,1,1,1,2
61,1,1,1,1,3
62,1,2,1,3,3
63,1,1,1,1,3
64,1,1,1,1,1
65,1,1,1,1,2
66,1,2,4,5,4
67,1,2,1,3,2
68,1,1,1,3,3
69,1,4,3,4,3
70,1,1,1,1,1
71,1,1,3,1,3
72,1,1,3,1,2
73,1,1,1,1,2
74,1,1,1,1,1
75,1,1,1,1,1
76,1,1,1,1,1
77,1,1,1,2,4
78,1,1,1,1,1
79,1,1,1,1,1
80,1,1,1,1,1
81,1,1,1,2,4
82,1,1,1,1,3
83,1,1,1,1,2
84,1,1,1,1,2
85,1,1,1,1,4
86,1,2,1,2,1
87,1,1,2,1,3
88,1,1,1,3,1
89,1,1,1,1,3
90,1,1,1,1,1
91,1,1,1,1,1
92,1,3,4,3,1
93,1,1,1,1,1
94,1,1,1,1,3
95,1,1,1,1,1
96,1,1,1,1,1
97,1,1,1,1,3
98,1,1,1,1,1
99,2,2,3,4,1
100,2,2,3,4,3
101,2,2,3,2,3
102,2,1,3,3,1
103,2,1,1,4,1
104,2,3,4,3,3
105,2,3,1,3,3
106,2,2,3,3,3
107,2,3,3,4,1
108,2,3,4,3,2
109,2,1,1,3,1
110,2,3,3,4,1
111,2,3,3,3,1
112,2,3,3,4,3
113,2,1,3,3,3
114,2,2,4,3,3
115,2,2,2,4,2
116,2,3,4,3,3
117,2,3,3,3,3
118,2,3,3,3,1
119,2,3,3,3,3
120,2,2,4,3,3
121,2,3,3,4,3
122,2,3,1,3,2
123,2,3,4,4,3
124,2,2,1,3,3
125,2,3,4,4,3
126,2,3,3,4,1
127,2,2,3,3,1
128,2,2,3,3,3
129,2,3,4,3,3
130,2,3,1,3,1
131,2,2,3,3,3
132,2,2,3,3,2
133,2,3,3,3,1
134,2,3,1,4,1
135,2,3,3,3,4
136,2,3,3,3,3
137,2,3,3,2,3
138,2,2,3,2,3
139,2,3,4,3,2
140,2,2,2,4,2
141,2,3,3,3,3
142,2,3,3,4,3
143,2,2,3,3,4
144,2,3,3,3,1
145,2,3,3,3,3
146,2,3,3,3,1
147,2,3,3,3,1
148,2,2,3,3,1
149,2,3,3,3,2
150,2,4,3,4,1
151,2,3,3,4,1
152,2,3,4,3,3
153,2,3,3,3,1
154,2,3,3,3,2
155,2,3,3,3,3
156,2,3,3,3,4
157,2,3,3,3,3
158,2,3,3,4,3
159,2,3,3,4,3
160,2,2,1,3,2
161,2,4,3,4,4
162,2,3,2,3,3
163,2,3,3,3,1
164,2,3,4,3,3
165,2,3,1,4,2
166,2,3,2,3,3
167,2,2,4,4,4
168,2,3,3,3,3
169,2,1,3,1,1
170,2,3,3,4,2
171,2,3,4,4,3
172,2,3,3,4,3
173,2,3,3,4,3
174,2,3,3,3,1
175,2,3,4,5,3
176,2,3,3,4,2
177,2,2,4,1,2
178,2,3,4,3,1
179,2,2,3,3,3
180,2,3,3,4,3
181,2,3,1,3,2
182,2,3,4,3,3
183,2,3,3,3,3
184,2,3,3,4,1
185,2,3,4,4,3
186,2,3,2,3,4
187,2,2,3,3,2
188,2,3,3,2,3
189,2,2,1,3,1
190,2,3,3,3,2
191,2,3,3,3,2
192,2,3,3,4,2
193,2,3,4,3,2
194,2,4,5,4,4
195,2,3,3,3,3
196,2,2,3,4,3
197,2,2,2,3,2
198,3,3,4,3,3
199,3,1,4,1,4
200,3,2,1,4,3
201,3,3,1,4,1
202,3,2,1,3,2
203,3,1,2,1,2
204,3,2,3,3,4
205,3,3,1,4,4
206,3,1,2,4,3
207,3,3,1,4,3
208,3,1,2,1,3
209,3,1,1,1,1
210,3,4,1,3,3
211,3,1,1,1,1
212,3,4,5,4,4
213,3,2,3,4,2
214,3,2,2,3,3
215,3,4,3,3,3
216,3,1,4,4,3
217,3,3,3,1,1
218,3,3,4,4,3
219,3,3,5,5,5
220,3,2,3,3,2
221,3,1,1,1,1
222,3,2,4,3,3
223,3,5,1,3,3
224,3,1,2,1,3
225,3,3,1,3,1
226,3,3,4,3,3
227,3,2,2,3,1
228,3,1,3,2,3
229,3,1,1,1,1
230,3,4,5,5,4
231,3,5,4,5,4
232,3,1,1,3,3
233,3,3,3,4,2
234,3,3,4,4,4
235,3,1,1,3,2
236,3,4,4,4,3
237,3,1,1,3,1
238,3,2,3,3,3
239,3,1,3,3,2
240,3,5,4,4,3
241,3,2,1,1,1
242,3,1,2,4,2
243,3,2,3,3,3
244,3,2,1,3,3
245,3,5,5,3,3
246,3,1,4,3,3
247,3,1,1,1,3
248,3,2,3,4,3
249,3,1,1,3,1
250,3,3,5,4,5
251,3,1,3,3,3
252,3,2,2,3,1
253,3,3,2,3,1
254,3,1,1,5,3
255,3,5,5,5,4
256,3,5,2,3,3
257,3,4,5,4,4
258,3,3,5,4,4
259,3,3,4,4,3
260,3,5,5,3,4
261,3,5,1,5,3
262,3,1,1,2,1
263,3,3,5,5,4
264,3,3,1,4,1
265,3,1,1,3,2
266,3,2,3,2,3
267,3,2,2,2,3
268,3,4,3,4,4
269,3,2,3,3,4
270,3,5,1,1,2
271,3,5,1,3,1
272,3,2,1,3,4
273,3,5,4,5,4
274,3,1,3,3,3
275,3,1,1,2,3
276,3,2,1,3,1
277,3,4,3,4,1
278,3,2,1,3,4
279,3,5,5,4,4
280,3,1,2,3,3
281,3,1,2,3,1
282,3,3,3,1,3
283,3,1,3,4,3
284,3,5,5,5,4
285,3,2,1,1,3
286,3,4,3,3,4
287,3,2,2,3,1
288,3,2,1,2,3
289,3,5,4,1,4
290,3,1,1,3,4
291,3,3,4,3,4
292,3,5,4,5,4
293,3,5,5,5,4
294,3,1,2,4,3
295,4,1,1,1,3
296,4,1,1,1,3
297,4,1,1,2,1
298,4,1,1,1,3
299,4,3,3,3,3
300,4,1,1,1,1
301,4,1,2,1,2
302,4,1,1,2,3
303,4,2,1,1,2
304,4,1,1,1,3
305,4,2,3,2,3
306,4,1,1,1,1
307,4,1,1,1,2
308,4,1,3,3,2
309,4,2,1,3,1
310,4,1,1,1,3
311,4,1,2,1,3
312,4,1,1,1,1
313,4,2,3,3,1
314,4,1,3,2,2
315,4,1,1,2,3
316,4,1,1,1,1
317,4,1,3,1,3
318,4,1,3,2,2
319,4,2,1,1,3
320,4,1,3,1,3
321,4,1,1,1,3
322,4,3,3,3,2
323,4,1,1,2,1
324,4,3,3,3,3
325,4,2,2,2,2
326,4,1,3,3,3
327,4,3,3,2,4
328,4,1,1,1,2
329,4,1,1,1,2
330,4,1,1,3,3
331,4,1,1,1,1
332,4,1,2,3,1
333,4,2,1,3,3
334,4,1,2,3,1
335,4,2,1,3,3
336,4,1,3,2,2
337,4,2,3,2,3
338,4,2,2,2,3
339,4,1,1,3,1
340,4,3,1,3,2
341,4,1,1,2,3
342,4,1,4,1,3
343,4,2,3,3,3
344,4,3,3,3,3
345,4,4,2,1,3
346,4,1,1,2,1
347,4,1,3,1,3
348,4,1,1,2,3
349,4,1,1,2,1
350,4,1,2,2,3
351,4,1,3,1,3
352,4,1,3,3,3
353,4,1,3,1,3
354,4,1,1,1,3
355,4,3,2,3,3
356,4,1,1,1,3
357,4,1,3,3,2
358,4,2,1,1,1
359,4,3,3,3,3
360,4,2,3,3,4
361,4,1,1,2,3
362,4,1,3,1,3
363,4,1,1,1,2
364,4,1,3,2,3
365,4,1,1,3,3
366,4,2,1,1,1
367,4,3,1,1,2
368,4,1,3,2,3
369,4,3,4,2,3
370,4,2,1,2,1
