id,category,turn_1_score,turn_2_score,turn_3_score,turn_4_score
0,1,1,1,1,3
1,1,1,1,1,1
2,1,1,1,2,1
3,1,1,3,1,1
4,1,1,1,1,3
5,1,1,4,4,3
6,1,1,1,1,3
7,1,3,4,4,3
8,1,1,1,1,1
9,1,1,4,3,4
10,1,2,1,1,1
11,1,1,2,2,3
12,1,1,1,1,3
13,1,1,1,2,4
14,1,1,1,2,4
15,1,1,1,2,1
16,1,1,1,2,1
17,1,1,1,1,1
18,1,1,1,2,3
19,1,1,1,1,4
20,1,1,3,1,4
21,1,3,5,3,4
22,1,1,1,1,3
23,1,1,3,1,3
24,1,1,1,1,3
25,1,3,1,3,3
26,1,1,1,1,4
27,1,1,1,1,1
28,1,1,3,1,3
29,1,1,3,3,4
30,1,4,3,4,4
31,1,1,1,2,3
32,1,1,1,1,1
33,1,1,1,1,3
34,1,1,1,1,1
35,1,1,1,1,1
36,1,1,1,1,1
37,1,1,1,1,2
38,1,1,1,3,3
40,1,1,1,1,1
41,1,1,2,1,4
42,1,1,1,2,2
43,1,1,1,1,1
44,1,1,1,1,3
45,1,1,2,1,1
46,1,1,1,1,3
47,1,1,1,1,1
48,1,1,4,5,5
49,1,1,1,1,2
50,1,1,2,1,3
51,1,1,1,1,3
52,1,1,3,3,3
53,1,1,3,1,1
54,1,1,1,2,3
55,1,2,4,4,3
56,1,1,1,1,1
57,1,1,2,2,3
58,1,1,1,1,1
59,1,1,5,4,4
60,1,1,2,1,3
61,1,1,1,1,3
62,1,3,1,2,1
63,1,1,1,1,3
64,1,1,1,1,1
65,1,1,1,1,2
66,1,1,4,5,4
67,1,1,1,2,2
68,1,1,1,3,3
69,1,5,1,4,5
70,1,1,1,1,1
71,1,1,3,1,3
72,1,1,1,1,3
73,1,1,1,1,1
74,1,1,1,2,4
75,1,1,1,1,1
76,1,1,2,1,1
77,1,1,1,1,5
78,1,1,1,1,1
79,1,1,1,1,1
80,1,1,1,1,1
81,1,1,1,2,3
82,1,1,1,1,1
83,1,1,1,1,3
84,1,1,1,1,1
85,1,1,1,1,3
86,1,2,2,3,2
87,1,1,3,1,3
88,1,1,1,2,3
89,1,1,1,2,1
90,1,1,1,1,1
91,1,1,1,1,1
92,1,3,3,3,1
93,1,1,1,1,1
94,1,1,1,1,3
95,1,1,1,1,1
96,1,1,1,1,1
97,1,1,1,1,4
98,1,1,1,1,1
99,2,3,3,4,4
100,2,3,3,4,3
101,2,3,2,2,1
102,2,1,2,3,1
103,2,2,1,4,1
104,2,3,4,4,3
105,2,2,1,3,2
106,2,2,4,3,2
107,2,3,3,4,3
108,2,3,4,3,2
109,2,1,1,2,2
110,2,3,4,4,1
111,2,2,2,3,1
112,2,3,3,4,2
113,2,2,3,3,3
114,2,3,2,3,3
115,2,2,2,2,2
116,2,3,4,4,3
117,2,3,3,3,3
118,2,3,3,4,3
119,2,3,3,3,3
120,2,3,4,4,3
121,2,3,4,4,4
122,2,3,1,4,2
123,2,3,4,3,1
124,2,1,3,3,1
125,2,3,4,3,3
126,2,2,3,3,1
127,2,3,2,3,2
128,2,3,3,2,3
129,2,2,3,2,3
130,2,3,2,3,1
131,2,2,3,3,1
132,2,3,3,3,3
133,2,2,3,4,2
134,2,3,1,4,3
135,2,3,3,3,3
136,2,3,3,3,4
137,2,3,3,3,2
138,2,2,4,3,3
139,2,3,4,3,1
140,2,3,1,3,1
141,2,3,3,3,3
142,2,2,3,4,1
143,2,3,2,3,4
144,2,3,3,3,3
145,2,3,3,3,3
146,2,3,3,4,1
147,2,2,3,4,3
148,2,3,3,4,2
149,2,3,3,3,1
150,2,3,3,3,1
151,2,3,3,3,3
152,2,3,3,3,3
153,2,3,3,3,3
154,2,2,3,3,1
155,2,3,4,4,3
156,2,2,4,3,3
157,2,3,2,3,3
158,2,3,3,3,3
159,2,3,3,3,3
160,2,2,3,4,3
161,2,3,3,4,3
162,2,2,3,3,3
163,2,3,2,3,3
164,2,3,4,2,3
165,2,4,4,4,3
166,2,2,3,4,2
167,2,3,3,4,4
168,2,3,3,4,3
169,2,1,3,2,2
170,2,3,2,4,3
171,2,3,3,4,3
172,2,3,3,4,3
173,2,3,3,4,1
174,2,3,4,4,1
175,2,3,4,4,3
176,2,3,1,3,2
177,2,2,4,3,1
178,2,3,4,3,1
179,2,2,3,3,2
180,2,3,3,3,3
181,2,3,3,3,2
182,2,3,4,3,1
183,2,3,3,3,3
184,2,3,4,4,1
185,2,3,4,4,1
186,2,4,3,3,3
187,2,2,2,3,1
188,2,2,3,2,1
189,2,3,3,4,3
190,2,3,3,3,3
191,2,3,3,3,3
192,2,3,3,4,1
193,2,3,4,4,1
194,2,3,4,4,4
195,2,3,3,4,1
196,2,2,3,3,1
197,2,2,2,3,1
198,3,3,4,3,4
199,3,1,4,2,4
200,3,2,1,3,1
201,3,1,2,4,1
202,3,2,1,3,1
203,3,1,1,1,4
204,3,3,1,3,3
205,3,1,1,3,4
206,3,1,1,3,1
207,3,1,4,3,2
208,3,1,1,1,3
209,3,1,1,2,2
210,3,4,3,4,3
211,3,1,1,2,3
212,3,3,4,4,4
213,3,3,5,4,4
214,3,1,1,3,2
215,3,3,1,3,3
216,3,1,3,3,3
217,3,1,3,2,3
218,3,3,4,4,3
219,3,3,5,5,5
220,3,2,3,4,2
221,3,2,2,1,1
222,3,3,4,2,3
223,3,5,5,3,4
224,3,1,3,2,3
225,3,3,1,1,1
226,3,3,5,4,4
227,3,2,1,3,1
228,3,1,1,2,1
229,3,1,1,1,2
230,3,4,5,5,4
231,3,5,3,5,4
232,3,1,1,4,2
233,3,3,1,5,3
234,3,3,4,3,4
235,3,1,1,3,3
236,3,4,2,4,3
237,3,2,1,2,1
238,3,2,3,3,3
239,3,1,3,4,2
240,3,5,5,4,4
241,3,2,1,1,1
242,3,2,2,3,3
243,3,3,3,2,3
244,3,4,3,2,3
245,3,5,5,4,3
246,3,1,3,3,3
247,3,1,1,1,1
248,3,3,4,2,1
249,3,1,1,2,1
250,3,3,4,4,5
251,3,1,3,4,4
252,3,3,4,4,3
253,3,3,3,3,1
254,3,1,1,5,3
255,3,5,5,5,4
256,3,5,4,3,4
257,3,5,5,4,4
258,3,3,4,4,3
259,3,2,4,4,3
260,3,5,5,4,4
261,3,5,4,5,3
262,3,1,1,2,1
263,3,3,4,5,4
264,3,3,3,4,1
265,3,1,1,3,2
266,3,2,2,3,2
267,3,2,1,3,3
268,3,4,2,4,4
269,3,2,3,5,3
270,3,5,3,1,1
271,3,4,1,4,1
272,3,1,2,3,3
273,3,5,4,5,4
274,3,1,3,3,3
275,3,1,1,2,3
276,3,1,1,3,1
277,3,4,4,4,3
278,3,2,1,3,2
279,3,4,5,4,4
280,3,1,4,2,3
281,3,1,1,2,1
282,3,4,3,3,2
283,3,1,2,3,3
284,3,5,5,5,5
285,3,2,1,1,1
286,3,4,3,3,4
287,3,1,1,3,2
288,3,2,1,2,2
289,3,5,3,3,4
290,3,1,2,3,4
291,3,4,4,4,4
292,3,5,4,5,4
293,3,5,5,5,4
294,3,1,2,4,2
295,4,1,1,1,2
296,4,1,1,1,3
297,4,1,1,1,1
298,4,1,1,1,2
299,4,3,3,3,3
300,4,1,1,1,1
301,4,1,1,1,1
302,4,1,1,1,3
303,4,2,1,1,3
304,4,1,1,1,3
305,4,3,2,3,3
306,4,1,1,1,2
307,4,1,1,1,1
308,4,1,3,3,2
309,4,2,1,3,2
310,4,1,1,1,3
311,4,1,2,1,3
312,4,1,1,1,1
313,4,2,2,2,3
314,4,1,2,3,1
315,4,1,1,2,2
316,4,1,1,2,2
317,4,1,3,1,2
318,4,1,3,3,3
319,4,2,1,1,3
320,4,1,2,2,3
321,4,1,1,1,4
322,4,2,3,3,3
323,4,1,1,2,3
324,4,3,3,3,3
325,4,2,2,3,2
326,4,1,2,2,3
327,4,3,3,3,3
328,4,1,1,1,1
329,4,1,1,1,1
330,4,1,1,2,3
331,4,1,1,2,1
332,4,1,1,3,1
333,4,3,3,3,3
334,4,1,2,3,2
335,4,2,2,3,3
336,4,1,3,3,3
337,4,1,3,2,2
338,4,2,2,3,2
339,4,1,2,3,3
340,4,2,1,2,3
341,4,1,1,1,3
342,4,1,3,1,3
343,4,2,3,3,3
344,4,2,3,3,1
345,4,3,2,2,3
346,4,1,1,1,2
347,4,1,3,1,2
348,4,1,1,1,2
349,4,1,1,3,1
350,4,1,1,2,3
351,4,1,3,1,3
352,4,1,3,2,3
353,4,1,3,2,3
354,4,1,1,1,2
355,4,3,2,3,3
356,4,2,1,1,3
357,4,2,3,3,3
358,4,2,1,1,3
359,4,3,3,3,3
360,4,2,3,3,4
361,4,3,1,1,1
362,4,1,3,2,3
363,4,1,1,1,1
364,4,1,3,3,1
365,4,1,1,2,2
366,4,2,1,1,3
367,4,3,1,1,2
368,4,2,3,1,1
369,4,3,3,3,3
370,4,2,1,2,1
